tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s
stress,2,10057,slack_oracle,25.0,0.2107489101422849,0.0464300814082771,1.2214167439970134,0.164474451303155,-0.0012853686523437,0.062940673828125,0.0944744513031549,0.234474451303155,-0.08,0.08,0.0462744588391298,0.0477154500606208,1.1584760701688883,0.3499999538286397,0.3499999278236053,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.04627445883912992,0.11627445883912998,0.02372554116087011,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,26.0,0.2108012534775068,0.046416563294136,1.2678400665658032,0.1675240054869684,-0.0013268823242187,0.061634453125,0.0975240054869684,0.2375240054869684,-0.08,0.08,0.0432772479905383,0.0477434456183547,1.2062056134408032,0.3499999354865987,0.3499993578557986,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.04327724799053842,0.11327724799053841,0.026722752009461587,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,27.0,0.2108309645887856,0.0464026984242726,1.314249697551037,0.170625,-0.0013676342773437,0.060287099609375,0.1006249999999999,0.240625,-0.08,0.08,0.0402059645887856,0.0477703327016164,1.253962597941662,0.3499995280682641,0.3348780833860162,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.04020596458878567,0.11020596458878572,0.029794035411214392,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,28.0,0.2108422265434771,0.0463885843334161,1.3606453175426876,0.1737722908093278,-0.0014076245117187,0.058899375,0.1037722908093278,0.2437722908093278,-0.08,0.08,0.0370699357341492,0.0477962088451349,1.3017459425426876,0.3393339717839445,0.3080764847228436,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.037069935734149295,0.10706993573414929,0.03293006426585071,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,29.0,0.2108385390665574,0.0463743990176893,1.4070267635009754,0.1769607338820301,-0.0014468530273437,0.057472041015625,0.1069607338820301,0.2469607338820302,-0.08,0.08,0.0338778051845272,0.047821252045033,1.3495547224853504,0.3172872365306695,0.2747018072220906,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.03387780518452724,0.10387780518452729,0.0361221948154728,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,30.0,0.210822870651297,0.0463603032648182,1.453394050299021,0.1801851851851852,-0.0014853198242187,0.056005859375,0.1101851851851851,0.2501851851851852,-0.08,0.08,0.0306376854661118,0.0478456230890369,1.3973881909240211,0.287250602946593,0.2385080017438315,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.03063768546611187,0.10063768546611192,0.039362314533888165,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,31.0,0.2107977264924205,0.0463464094959211,1.499747330559874,0.1834405006858711,-0.0015230249023437,0.054501591796875,0.113440500685871,0.2534405006858711,-0.08,0.08,0.0273572258065494,0.0478694343982648,1.445245738762999,0.2528711526032997,0.2022298028182877,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.02735722580654948,0.09735722580654951,0.04264277419345058,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,32.0,0.210765194530311,0.0463327812938079,1.546086844151991,0.186721536351166,-0.0015599682617187,0.0529599999999999,0.116721536351166,0.256721536351166,-0.08,0.08,0.024043658179145,0.0478927495555267,1.4931268441519912,0.217152464488794,0.1678205887338509,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.024043658179145,0.094043658179145,0.04595634182085501,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,33.0,0.2107269868273804,0.0463194401609162,1.5924128723854047,0.1900231481481481,-0.0015961499023437,0.051381845703125,0.1200231481481481,0.2600231481481482,-0.08,0.08,0.0207038386792322,0.04791559006326,1.5410310266822798,0.1823573831634565,0.1366219099480415,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.020703838679232256,0.09070383867923229,0.049296161320767806,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,34.0,0.2106844795875435,0.0463063730700824,1.638725699760017,0.1933401920438957,-0.0016315698242187,0.049767890625,0.1233401920438957,0.2633401920438957,-0.08,0.08,0.0173442875436477,0.0479379428943012,1.588957809135017,0.1500989400041427,0.1094871873810982,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.017344287543647807,0.0873442875436478,0.0526557124563522,0.0,0.0,0.7586107576985939
